Store_Name,Address,Location,Timings,Rating_(reviewers),Phone
Vizianagaram,"20-20-103, Plot No103, Madhuvan Towers, Krishnarajapuram, Near Spencers, Vizianagaram, Andhra Pradesh, 535002",Andhra Pradesh,11:00 AM to 09:00 PM, 4.9  (1346) ,9319374906
Ramnagar,"Shop No 10/4/16/2, Upper Ground Floor, Uplands Road, Asilmetta Junction, Ramnagar, Beside Hotel Meghalaya, Visakhapatnam, Andhra Pradesh, 530003",Andhra Pradesh,11:00 AM to 09:30 PM, 4.8  (5726) ,7428890015
Kakinada,"20-1-34, Subash Road, Opposite Super Bazar, Kakinada, Andhra Pradesh, 533001",Andhra Pradesh,11:00 AM to 09:00 PM, 4.9 (1200) ,8447732252
Eluru,"24B-1-46/1, Vijaya Vihar Centre, Vijaya Vihar Centre, Opposite Gv Mall, Eluru, Andhra Pradesh, 534002",Andhra Pradesh,11:00 AM to 09:00 PM, 4.8  (722) ,9319369743
Shanthi Nagar,"Shop No 23/7/131, Shanthi Nagar, Mr Palli Circle, Tirupati, Andhra Pradesh, 517502",Andhra Pradesh,11:00 AM to 09:00 PM, 4.9  (2363) ,7428890044
Gajuwaka,"10-1-128/7, 60 Feet Wide Road, Mehar Nagar, Gajuwaka, Visakhapatnam, Andhra Pradesh, 530026",Andhra Pradesh,11:00 AM to 09:30 PM, 4.9  (2946) ,8929176131
Brodipet,"45029, Brodipet, Brodipet, Opposite Vajram Hotel, Guntur, Andhra Pradesh, 522002",Andhra Pradesh,11:00 AM to 09:00 PM, 4.9  (1011) ,8929342562
Nandyal Road Kurnool,"D No 87/1133, Nandyal Road, Sree Rajeswari Nagar, Sree Rajeswari Nagar, Kurnool, Andhra Pradesh, 518002",Andhra Pradesh,11:00 AM to 09:00 PM, 5.0  (2151) ,9667268269
Satyanarayanapuram,"21-3-7, Bagath Singh Road, Govt Press, Mutyalampadu Vijayawada, Satyanarayanapuram, Andhra Pradesh, 520011",Andhra Pradesh,10:30 AM to 09:30 PM, 4.9  (369) ,7065311596
Guru Nanak Colony,"59A-20-2, Survey No 134/6, Extent 443.33, South Plot No 29, East Plot No 23 West, Plot No 21, Guru Nanak Colony, Vijayawada, Andhra Pradesh, 520007",Andhra Pradesh,10:30 AM to 09:30 PM, 4.9  (594) ,9540358921
Vijayawada,"H No 27-1-86, Satya, Estates, Muddha Subaiah Street, Lenin Center, Governpet, Elur Road, Patamata, Near Ntr Circle, Vijayawada, Andhra Pradesh, 520010",Andhra Pradesh,10:30 AM to 09:30 PM, 4.8  (432) ,9582579257
Tenali,"Ground Floor, Old Badari Shop, Bose Road, Tenali, Andhra Pradesh, 522201",Andhra Pradesh,11:00 AM to 09:00 PM, 4.9  (565) ,8588807298
VV Mahal Road,"Door No 18/1/635, Ground Floor Bhavani Nagar, V V Mahal Road, Near Municipal Office, Tirupati, Andhra Pradesh, 517501",Andhra Pradesh,11:00 AM to 09:00 PM, 4.9  (2633) ,9319374825
"MG Road, Vijayawada","Shop No 40/1/50, Gvr Complex, Chandramouli Puram, Mg Road, Opposite M&M, Vijayawada, Andhra Pradesh, 520010",Andhra Pradesh,11:00 AM to 09:30 PM, 4.7  (1934) ,7428890138
Butchirajupalem NAD Junction,"D No 58/1/373, Ground Floor, Main Road, Butchirajupalem Nad Junction, Near St. Thomas Church, Visakhapatnam, Andhra Pradesh, 530027",Andhra Pradesh,11:00 AM to 09:30 PM, 4.9  (2445) ,7428890147
Seetarapuram,"DNo 143, Revenue Ward 9, Municipal Ward No 23, 262, Assesment No 23029 A, Gunadala Krishana, Seetaraampuram, Elur Road, Vijayawada, Andhra Pradesh, 520002",Andhra Pradesh,10:30 AM to 09:30 PM, 4.9  (407) ,8447021901
R S Road,"Shop No 40/581/A, Sv Complex, Rs Road, Prakash Nagar, Opposite Tj Shopping Mall, Kurnool, Andhra Pradesh, 518004",Andhra Pradesh,11:00 AM to 09:00 PM, 4.9  (1815) ,7428890157
Tilak Road,"Shop No 2G, Srihari Soudha Building, DNo 79/2/4/4, Tilak Road, Opposite Karur Vysyaï¿½Bank, Rajahmundry, Andhra Pradesh, 533103",Andhra Pradesh,11:00 AM to 09:00 PM, 4.8  (1634) ,7428890158
GT Road VRC Centre,"Shop No 17/288/1, Ground Floor, Keerthy Towers, Grand Trunk Road, VRC Centre, Nellore, Andhraï¿½Pradesh, 524001",Andhra Pradesh,10:30 AM to 09:30 PM, 4.9  (414) ,9582598248
"Vizag, Seethammadara","50-111-1, Seethammadhara Road, Tpt Colony, Balayya Sastri Layout, Seethammadara, Visakhapatnam, Andhra Pradesh, 530013",Andhra Pradesh,11:00 AM to 09:30 PM, 5.0  (2775) ,8929435387
Guntur,"No 12/25/46/A, Revenue Ward 27, Assessment No, 76262, 76263, Ground Floor, Kothapet Main Road, Kothapet, Opposite Sudarshan Eye Hospital, Guntur, Andhra Pradesh, 522001",Andhra Pradesh,11:00 AM to 09:30 PM, 4.9  (1311) ,7838234671
Madanapalle,"4-55,56, Modem Towers, Patel Road, Annamayya, Madanapalle, Andhra Pradesh, 517325",Andhra Pradesh,11:00 AM to 09:00 PM, 4.9  (1498) ,8929270379
Vedayapalam,"D No 26-2, Survey No 1940, Plot No 55, Chaitanyapuri, Vedayapalem, Revenue Ward No 26 II, Nellore, Andhra Pradesh, 524004",Andhra Pradesh,10:30 AM to 09:30 PM, 4.9  (417) ,9582551541
Mahanadu Road,"H No 52-1/1-1B, Ground Floor, Veternory Colony, NH 5 Service Road, Revenue Ward 2, Mahanadu Road, Vijayawada, Andhra Pradesh, 520008",Andhra Pradesh,10:30 AM to 09:30 PM, 4.9  (180) ,9582434697
Ongole,"Dno 5-417, Kurnool Road, Kurnool Road, Opposite Chimakurthy Eye Hospital, Ongole, Andhra Pradesh, 523001",Andhra Pradesh,11:00 AM to 09:00 PM, 4.9  (1697) ,8929083596
"Sector 6, MVP Colony","2/30/26/1, Jami Function Hall, Sector 6, Mvp Colony, Near Mg Cancer Hospital, Visakhapatnam, Andhra Pradesh, 530017",Andhra Pradesh,11:00 AM to 09:00 PM, 4.8  (1148) ,7428890205
Lakshmipuram,"H No 8/7 & 8/8, Anand Nilayam, Main Road, Lakshmipuram, Near Ntr Municipal Stadium, Guntur, Andhra Pradesh, 522007",Andhra Pradesh,11:00 AM to 09:30 PM, 4.8  (1889) ,7428890224
Daba Gardens,"Shop No G1, Door No 30-15-158, City Plaza, Daba Gardens, Opposite Sharma Sports, Visakhapatnam, Andhra Pradesh, 530020",Andhra Pradesh,11:00 AM to 09:30 PM, 4.9  (1647) ,8929435360
Kavali,"D No 10-15-35, Abm Compound Area, Kavali Bit 2, Shop No G-21 & F-21, Survey Number 1080/3-1, 1080/2, Kavali, Kavali, Andhra Pradesh, 524201",Andhra Pradesh,11:00 AM to 09:00 PM, 4.9  (939) ,8929162485
Rajahmundry,"46-7-33, Danavipeta, Danavipeta, Rajahmundry, Andhra Pradesh, 533103",Andhra Pradesh,11:00 AM to 09:30 PM, 4.9  (2139) ,8929210979
Kadapa,"Ground Floor, PP Sri Chaitanya School, Rajiv Park Road, Next To More Super Market, Kadapa, Andhra Pradesh, 516001",Andhra Pradesh,11:00 AM to 09:00 PM, 4.9  (2459) ,8929310236
Dargamitta,"No 24-3-186, Grand Truck Road, Dargamitta, Near Kims Hospital, Nellore, Andhra Pradesh, 524003",Andhra Pradesh,11:00 AM to 09:00 PM, 4.8  (975) ,7303833834
Ramavarapadu,"D.No 10-157, Tankasala Vari Centre, Beside HDFC Bank, Enikepadu Complex, Ramavarapadu, Vijayawada, Andhra Pradesh, 521108",Andhra Pradesh,10:30 AM to 09:30 PM, 5.0  (57) ,9582637036
"RTC Bus Stand Road, Anantapur","13-3-338 B, Ground Floor, Amar Inn Lodge, Bus Stand Road2, Srinivas Nagar, Anantapur, Andhra Pradesh, 515001",Andhra Pradesh,11:00 AM to 09:00 PM, 4.9  (2144) ,7428890257
Vijayawada,"H No 76-8-5/3, Survey No 66/1, Plot No 4, Bhavanipuram, Crombay Road No 1, Bhagatsingh Road, Vijayawada Town, Vijayawada Municipal Corporation, Bhavanipuram, Vijayawada, Andhra Pradesh, 520003",Andhra Pradesh,10:30 AM to 09:30 PM, 4.8  (732) ,8929330736
Bhimavaram,"27-1-4, J P Road, West Godavari, Next To Srinivasa Hospital, Bhimavaram, Andhra Pradesh, 534202",Andhra Pradesh,11:00 AM to 09:00 PM, 4.8  (1320) ,9810734735
Proddatur,"Door #8/702, Gandhi Road, Opposite Posinsa Compound, Proddatur, Andhra Pradesh, 516360",Andhra Pradesh,11:00 AM to 09:00 PM, 4.9  (2432) ,8447835812
Kurmannapalem,"Door No 31-27-66, Shop No 3, Ground Floor, Beside Indusind ATM, Kurmanna Palem, Revenue Ward 58, Visakhapatnam, Andhra Pradesh, 530046",Andhra Pradesh,10:30 AM to 09:30 PM, 5.0  (145) ,9953828063
Meghana Mall,"Shop No 46,15/29, Ground Floor, Meghana Mall, Dwarka Nagar, High Street, Near Diamond Park, Visakhapatnam, Andhra Pradesh, 530016",Andhra Pradesh,11:00 AM to 09:30 PM, 4.9  (1997) ,8826001544
Maddilapalem,"No 9-1-224/1, T S No 1036/2, Waltair Ward, Cbm Compound, Maddilapalem, Rama Talkies Road, Visakhapatnam, Andhra Pradesh, 530003",Andhra Pradesh,11:00 AM to 09:30 PM, 4.9  (3204) ,8929289664
Marripalem,"Door No 36-46-69/4, Kancharapalem Main Road, Marripalem, Near Rama Rao Hospital, Visakhapatnam, Andhra Pradesh, 530008",Andhra Pradesh,11:00 AM to 09:30 PM, 5.0  (2182) ,8447728768
Rajahmundry,"31-1-30, Janda Panja Road, Near Ajantha Hotel, Rajahmundry, Andhra Pradesh, 533101",Andhra Pradesh,11:00 AM to 09:00 PM, 4.8  (444) ,8447730276
Sujathanagar,"7-183/1/1, Survey No 145/5,ï¿½Opposite Reliance Smart Point, Ratnagiri Nagar Greater, Visakhapatnam, Andhra Pradesh, 530051",Andhra Pradesh,10:30 AM to 09:30 PM,,7291823867
Gujjanagulla,"Door No 4-18-37/1, 7th line, Chandramouli Nagar, Beside Platinumï¿½Cinemas, Gujjanagulla, Guntur, Andhra Pradesh, 522007",Andhra Pradesh,09:30 AM to 09:30 PM, 4.9  (17) ,8296410646
Jagdamba Vizag,"Ground Floor, Venu Regency, Ram Nagar, Jagdamba, Maddilapalem, Visakhapatnam, Andhra Pradesh, 530003",Andhra Pradesh,11:00 AM to 09:30 PM, 4.9  (1772) ,8929328702
Poranki Vijayawada,"1-262/1 Poranki Gram Sri Rama Complex, Panchayat, Tadigadapa Centre MG Road, Penamaliri Mandal, Kankipadu Sub Reg Area, Krishna District, Vijayawada, Andhra Pradesh 521137",Andhra Pradesh,10:30 AM to 09:30 PM, 4.9  (476) ,8742939735
Anakapalle,"12-1-22/5, 4 Road, Nehru Chowk, Next To Sbi Main Branch, Anakapalle, Andhra Pradesh, 531001",Andhra Pradesh,11:00 AM to 09:00 PM, 4.9  (1172) ,7290022123
SRMT Mall,"Shop No 206, Ground Floor, Srmt Mall, Sarpavaram Junction, Lalitha Nagar, Besides Kamal Watch Co, Kakinada, Andhra Pradesh, 533005",Andhra Pradesh,11:00 AM to 09:30 PM, 4.9  (5802) ,8588941394
MVP Double Road,"Ground Floor D No 1-83-47/1, New Venkojipalem, Revenue Ward 8, Srinivasa Plaza, MVP Double Road, MVP Colony, Visakhapatnam, Andhra Pradesh, 530017",Andhra Pradesh,11:00 AM to 09:30 PM,,9953592608
Adoni,"1/54/17, Sri Ramnagar Colony, AAS College Road, Kurnool District, Adoni, Andhra Pradesh, 518301",Andhra Pradesh,11:00 AM to 09:00 PM, 5.0  (1857) ,8447925965
Eluru Road,"#27-1-58, Sathya Estate, Muddha Subbaiah Street, Governor Pet, Eluru Road, Near South India Shopping Mall, Vijayawada, Andhra Pradesh, 520002",Andhra Pradesh,10:30 AM to 09:30 PM, 4.8  (1333) ,8800211649
TTD Road Nandyal,"25-695-10, Ttd Road, Srinivasa Nagar, Opposite V-Mart, Nandyal, Andhra Pradesh, 518501",Andhra Pradesh,11:00 AM to 09:00 PM, 4.9  (2170) ,9667274275
Baihata Chariali,"Ground Floor, Dag No 1939, Guwahati Road, Baihata Chariali, Assam, 781381",Assam,10:30 AM to 09:00 PM, 4.9  (853) ,7065045104
Dr. B Baruah Road,"Royal Arcade, Dr. B Barua Road, Ulubari, Guwahati, Assam, 781007",Assam,11:00 AM to 09:00 PM, 4.8  (558) ,8447745421
Lalganesh,"Ground Floor, Lokhra Road, Kalapahar, Next To Icici Kalapahar Branch, Guwahati, Assam, 781018",Assam,10:30 AM to 09:00 PM, 4.9  (497) ,9311773718
Flagship Store Lachitnagar,"Ground Floor, Gs Road, South Sarania, Lachit Nagar, Ulubari, Near Ulubari Petrol Pump, Guwahati, Assam, 781007",Assam,11:00 AM to 09:00 PM, 4.7  (441) ,7303261262
Rehabari,"Rishav Plaza, A K Azad Road, Rehabari, Beside Apollo Pharmacy, Guwahati, Assam, 781008",Assam,10:30 AM to 09:00 PM, 4.8  (505) ,7303182183
Tinsukia,"Rangagora Road, Near Ultra Lab, Tinsukia, Assam, 786125",Assam,10:00 AM to 08:00 PM, 4.8  (251) ,9811031027
Asian Palace,"Ground Floor, Asian Palace, GS Road, Ulubari Opposite People Store, Near LIC Office, Guwahati, Assam, 781007",Assam,11:00 AM to 09:00 PM, 5.0  (147) ,9811039635
Dibrugarh,"Ground Floor, Mancotta Road, Mancotta Road, Near Thana Charali, Dibrugarh, Assam, 786001",Assam,10:30 AM to 09:00 PM, 4.8  (445) ,9582892445
Silpukhuri,"Ground Floor, Gnb Road, Silpukhuri, Kamrup Metropolition, Silpukhuri, Near Lakshmi Service Station, Guwahati, Assam, 781003",Assam,10:30 AM to 09:00 PM, 4.6  (380) ,7289061323
Zoo Road,"R G Baruah Road, Spanish Garden, Opposite State Zoo, Spanish Garden, Beside Indian Petrol Pump, Guwahati, Assam, 781003",Assam,10:30 AM to 09:00 PM, 4.9  (600) ,8929435267
Tezpur,"Ground Floor, Hotel Central Point, Opposite Tezpur Police Station, Tezpur,ï¿½Assam, 784001",Assam,11:00 AM to 09:00 PM, 4.9  (162) ,9582516764
Maligaonï¿½Chariali,"Gate No 1, Maligaon Chariali, Guwahati, Assam, 781011",Assam,10:30 AM to 09:00 PM, 4.7  (268) ,9718301704
Chapaguri,"Ground Floor, Chapaguri Road, Opposite Hotel Jahnabee Regency, North Bongaigaon, Amguri, Bongaigaon, Assam, 783380",Assam,10:00 AM to 09:00 PM,,9582340673
Central Mall,"Shop No 103, Ground Floor, Central Mall, Christian Basti, G S Road, Guwahati, Assam, 781005",Assam,11:00 AM to 09:00 PM, 4.9  (183) ,9582601631
Marwaripatty,"Tripal House, At Road, Marwaripatty, Near Indian Oil Petrol Pump, Nagaon, Assam, 782001",Assam,10:00 AM to 08:30 PM, 4.8  (637) ,7428890188
Bamunimaidan,"Ground Floor, Girish Mansion, Maniram Dewan Road, Bamunimaidan, Beside Reliance Trends, Guwahati, Assam, 781021",Assam,11:00 AM to 09:00 PM, 4.9  (540) ,8929176106
Rangia,"Ground Floor & Upper Floor, Rangia Town, Mouza Panduri , P S Rangia Under Rangia Revenue Circle, District Kamrup, Guwahati, Assam, 781354",Assam,10:30 AM to 09:00 PM, 4.9  (289) ,8742965758
Silchar,"N S Avenue, Silchar, Ranghirkhari, Opposite Life Line Hospital, Silchar, Assam, 788005",Assam,10:30 AM to 09:00 PM, 4.6  (438) ,8929335947
NCS Adabari,"Ground Floor, Ncs Square Mall, Adabari, P O & P S Bolpur, Adabari, Guwahati, Assam, 781014",Assam,10:30 AM to 09:00 PM, 4.8  (855) ,8929346634
Duliajan,"16 No Tiniali, Duliajan, Duliajan Oil Town, Dibrugarh, Assam, 786602",Assam,11:00 AM to 09:00 PM, 4.7  (72) ,9582919392
AT Road Sivasagar,"Ward No 13, Station Chariali, AT Road, Sivasagar, Assam, 785640",Assam,11:00 AM to 09:00 PM, 4.9  (78) ,9953832735
Nalbari,"Ground Floor Rouchand Complex, Ward No 8, Barama Road, Opposite DC Office, Nalbari, Assam, 781335",Assam,11:00 AM to 09:00 PM, 4.9  (459) ,8743820575
Jorhat,"Gar-Ali, Jorhat, Gar-Ali, Opposite Gar Ali Masjid, Jorhat, Assam, 785001",Assam,10:30 AM to 09:00 PM, 4.8  (539) ,9667242243
City Centre Mall,"Shop No Ff28, First Floor, City Centre Mall, Christian Basti, Guwahati, Assam, 781005",Assam,11:00 AM to 09:00 PM, 4.6  (576) ,8588091387
Hatigaon,"Ground Floor, House No 13, Uttam Marriage Hall, Hatigaon, Hatigaon, Near Bpcl Petrol Pump, Guwahati, Assam, 781038",Assam,11:00 AM to 09:00 PM, 4.7  (390) ,7428890156
Dispur,"Ground Floor, Ld Plaza, Gs Road, Dispur, Opposite Assam Secretariat, Guwahati, Assam, 781006",Assam,10:30 AM to 09:00 PM, 4.3  (440) ,7428890249
Tezpur,"Style Bazar Building, Mahidhar Borah Road, Mahidhar Borah Road, Opposite Eidgah, Tezpur, Assam, 784001",Assam,10:00 AM to 08:30 PM, 4.8  (163) ,8447902982
Khagaul Road,"Ground Floor, Khagaul Road, Anisabad, Opposite Mausam Vibhag, Patna, Bihar, 800002",Bihar,10:30 AM to 08:30 PM, 4.8  (489) ,7065045108
Gola Road,"Gola Road, Mouza Danapur, Near V Mart, Shehzadpur Bank Colony Road, Pargana Phulwari, Thana Danapur Sadar Registry, Patna, Bihar, 801503",Bihar,10:30 AM to 08:30 PM, 5.0  (1) ,6124148097
