id,Brand_Name,Color,Occasion,Size,Width,Model_Name,Market_Price,Lenskart_Price,Offer_Name,Quantity,Suited_For,Search_Product Name,Classification,Average_Ratings,Total_No_of_Ratings,Purchase_Count,Wishlist_Count
146012,Lenskart Air,Transparent,Any occasion,Medium,134 mm,LA E13517,1700,1700,VCEYE,5742,Any age group,Transparent Full Rim Rectangle Eyeglasses,eyeframe,4.65,146,77252,2904
216521,Lenskart Hustlr,Ocean Blue,,Medium,139 mm,LA E15417-W,1700,1700,LKBLUCE,2328,,Peyush Bansal Shark Tank Ocean Blue Full Rim Lenskart Hustlr Eyeglasses,eyeframe,0.0,0,5230,0
217261,Lenskart Hustlr,Transparent,,Medium,139 mm,LH E16985-W,1700,1700,VCEYE,2159,,Lenskart Hustlr LH E16985-W C5 Eyeglasses,eyeframe,0.0,0,2679,0
216712,Lenskart Hustlr,Pink,,Medium,139 mm,LA E15417-W,1700,1700,VCEYE,1400,,Flamingo Full Rim Wayfarer Lenskart Air Hustlr LA E15417-W-C3 Eyeglasses,eyeframe,0.0,0,2954,0
201333,Lenskart Air,Grey,Any occasion,Medium,134 mm,LA E13068,1700,1700,VCEYE,945,,Grey Transparent Full Rim Wayfarer Eyeglasses,eyeframe,4.65,166,26504,0
201315,Vincent Chase,Silver Black,Any occasion,Medium,134 mm,VC E13634,1700,1700,VCEYE,3435,Any age group,Black Silver Full Rim Geometric Eyeglasses,eyeframe,4.75,124,8629,0
211383,Lenskart Air,Blue,,Medium,135 mm,LA E16153,1700,1700,VCEYE,669,,Blue Orange Full Rim Rectangle Lenskart Air Essentials LA E16153-C3 Eyeglasses,eyeframe,0.0,0,2146,0
147507,Vincent Chase,Transparent,Any occasion,Medium,136 mm,VC E13037,1700,1700,VCEYE,10716,Any age group,Transparent Blue Full Rim Rectangle Eyeglasses,eyeframe,4.5,480,62449,8886
208951,Lenskart Hustlr,Navy,,Medium,139 mm,LA E15417-W,1700,1700,VCEYE,11910,,Navy Full Rim Wayfarer Eyeglasses,eyeframe,4.6,289,21568,0
217202,Lenskart Hustlr,Green,Any occasion,Medium,139 mm,LH E16985-W,1700,1700,VCEYE,2220,Any age group,No search keywords,eyeframe,0.0,0,2294,0
215389,Vincent Chase,Green,Any occasion,Medium,137 mm,VC E16665,1700,1700,VCEYE,1096,Any age group,No search keywords,eyeframe,0.0,0,687,0
217201,Lenskart Hustlr,Blue,Any occasion,Medium,139 mm,LH E16985-W,1700,1700,VCEYE,1737,Any age group,No search keywords,eyeframe,0.0,0,2582,0
149607,Vincent Chase,Black,Any occasion,Medium,137 mm,VC E14211,1700,1700,VCEYE,219,,Black Gunmetal Full Rim Aviator Eyeglasses,eyeframe,4.7,62,17898,8286
217431,Lenskart Hustlr,Green,,Medium,139 mm,LA E15417-W,1700,1700,VCEYE,1845,,Lenskart Air LA E15417-W C4 Eyeglasses,eyeframe,0.0,0,1629,0
209750,Lenskart Air,Brown,Any occasion,Wide,138 mm,LA E15844,1700,1700,VCEYE,2121,Any age group,Brown Transparent Full Rim Rectangle Eyeglasses,eyeframe,5.0,1,7403,0
137975,Lenskart Air,Blue,Any occasion,Medium,135 mm,LA E13069,1700,1700,VCEYE,2610,Any age group,Blue Full Rim Square Eyeglasses,eyeframe,4.6,595,79742,10980
215771,Vincent Chase,Gunmetal,Any occasion,Medium,137 mm,VC E16696,1700,1700,VCEYE,165,Any age group,No search keywords,eyeframe,0.0,0,3366,0
145567,Vincent Chase,Black,Any occasion,Medium,135 mm,VC E13634,1700,1700,VCEYE,3448,Any age group,Black Gold Full Rim Geometric Eyeglasses,eyeframe,4.75,124,39065,3205
207481,Lenskart Hustlr,Blue Sky,,Medium,139 mm,LA E15417-W,1700,1700,VCEYE,16473,,Blue Sky Full Rim Wayfarer Eyeglasses,eyeframe,4.6,289,184112,0
145996,Lenskart Air,Transparent,Any occasion,Medium,137 mm,LA E11821,1700,1700,VCEYE,7657,Any age group,Transparent Full Rim Wayfarer Eyeglasses,eyeframe,4.7,528,125004,25348
208956,Lenskart Hustlr,Greystone,,Medium,139 mm,LA E15417-W,1700,1700,VCEYE,9721,,Greystone Full Rim Wayfarer Eyeglasses,eyeframe,4.6,289,50559,0
217022,Lenskart STUDIO,Grey,,Medium,137 mm,LS E15666,2000,2000,,838,,Vincent Chase LS E15666 C6 Eyeglasses,eyeframe,0.0,0,2824,0
206266,Vincent Chase,Blue,Any occasion,Medium,137 mm,VC E15347,1700,1700,VCEYE,2508,,Blue Gunmetal Full Rim Aviator Eyeglasses,eyeframe,0.0,0,4970,0
209728,Vincent Chase,Gunmetal,Any occasion,Medium,134 mm,VC E15838,2000,2000,VCEYE,1807,Any age group,Gunmetal Blue Rimless Rectangle Eyeglasses,eyeframe,0.0,0,756,0
206824,Lenskart Hustlr,Amber,Any occasion,Medium,139 mm,LA E15417-W,1700,1700,VCEYE,1726,,Amber Full Rim Wayfarer Eyeglasses,eyeframe,4.6,289,45832,0
205373,Vincent Chase,Gunmetal,Working,Medium,136 mm,VC E15176,2000,2000,VCEYE,219,,Gunmetal Rimless Square Eyeglasses,eyeframe,0.0,0,4055,0
211943,Lenskart Air,Blue,Any occasion,Medium,136 mm,LA E16240,1700,1700,VCEYE,543,Any age group,No search keywords,eyeframe,0.0,0,1262,0
211448,Lenskart Air,Purple,,Medium,136 mm,LA E16169,1700,1700,VCEYE,952,,Purple Gold Purple Full Rim Square Lenskart Air Fusion LA E16169-C1 Eyeglasses,eyeframe,0.0,0,2087,0
211920,Vincent Chase,Blue,Any occasion,Medium,134 mm,VC E16233,1700,1700,VCEYE,1474,Any age group,No search keywords,eyeframe,0.0,0,1179,0
207671,Lenskart Hustlr,Dark Night,,Medium,139 mm,LA E15417-W,1700,1700,VCEYE,18783,,Dark Night Full Rim Square Eyeglasses,eyeframe,4.6,289,47317,0
210157,Lenskart Air,Green,Any occasion,Medium,132 mm,LA E14961,1700,1700,VCEYE,171,Any age group,No search keywords,eyeframe,0.0,0,2378,0
209774,Lenskart Air,Grey,Any occasion,Medium,137 mm,LA E15851,3000,3000,VCEYE,725,Any age group,No search keywords,eyeframe,0.0,0,3587,0
211524,Vincent Chase,Blue,Any occasion,Medium,136 mm,VC E16198,2000,2000,VCEYE,1163,Any age group,No search keywords,eyeframe,0.0,0,868,0
206828,Lenskart Hustlr,Monza Red,Any occasion,Medium,139 mm,LA E15417-W,1700,1700,VCEYE,3681,,Monza Red Full Rim Wayfarer Eyeglasses,eyeframe,4.6,289,13084,0
206641,Vincent Chase,Transparent,Everyday,Medium,135 mm,VC E15380,1700,1700,VCEYE,92,Any age group,Transparent Full Rim Round Eyeglasses,eyeframe,0.0,0,4764,0
206269,Vincent Chase,Blue,Party,Medium,137 mm,VC E15348,1700,1700,VCEYE,1352,Any age group,Silver Blue Full Rim Square Eyeglasses,eyeframe,0.0,0,5152,0
206036,Lenskart Air,Transparent Blue,Any occasion,Medium,134 mm,LA E15303,1700,1700,VCEYE,1113,Any age group,Transparent Blue Full Rim Square Eyeglasses,eyeframe,5.0,3,5465,0
201332,Lenskart Air,Grey,Any occasion,Medium,134 mm,LA E13068,1700,1700,VCEYE,1476,Any age group,Grey Full Rim Wayfarer Eyeglasses,eyeframe,4.65,166,11631,0
150599,Lenskart Air,Grey,Any occasion,Medium,135 mm,LA E14368,1700,1700,VCEYE,2330,Any age group,Grey Transparent Full Rim Rectangle Eyeglasses,eyeframe,4.65,62,29037,3337
210773,Lenskart Air,Grey,Any occasion,Narrow,131 mm,LA E16026,2000,2000,VCEYE,15,Any age group,No search keywords,eyeframe,0.0,0,3146,0
146615,Vincent Chase,Purple,Any occasion,Medium,135 mm,VC E13784,1700,1700,VCEYE,1849,Any age group,Purple Silver Full Rim Round Eyeglasses,eyeframe,4.6,255,61047,14578
146617,Vincent Chase,Gold,Any occasion,Medium,134 mm,VC E13785,1700,1700,VCEYE,4188,Any age group,Gold Full Rim Geometric Eyeglasses,eyeframe,4.75,173,53643,11799
137974,Lenskart Air,Black,Any occasion,Medium,135 mm,LA E13069,1700,1700,VCEYE,2005,Any age group,Black Full Rim Square Eyeglasses,eyeframe,4.6,595,98074,22506
137971,Lenskart Air,Black,Any occasion,Medium,134 mm,LA E13068,1700,1700,VCEYE,2350,Any age group,Black Full Rim Wayfarer Eyeglasses,eyeframe,4.65,166,78888,20552
215394,Vincent Chase,Pink,Any occasion,Medium,137 mm,VC E16668,1700,1700,VCEYE,1009,Any age group,No search keywords,eyeframe,0.0,0,1025,0
211607,Lenskart Air,Black,Any occasion,Medium,136 mm,LA E16207,4000,4000,VCEYE,1276,Any age group,No search keywords,eyeframe,0.0,0,1056,0
142515,John Jacobs,Black,Working,Medium,136 mm,JJ E13343,3500,3500,JJBOGO,834,Any age group,Matte Black Full Rim Wayfarer Eyeglasses,eyeframe,4.6,30,43123,3172
201618,Vincent Chase,Brown,Working,Narrow,132 mm,VC E14973,1700,1700,VCEYE,3384,Any age group,Brown Transparent Full Rim Cat Eye Eyeglasses,eyeframe,4.75,12,30854,0
201630,Vincent Chase,Brown,Everyday,Narrow,133 mm,VC E14977,1700,1700,VCEYE,711,Any age group,Brown Transparent Full Rim Geometric Eyeglasses,eyeframe,4.8,28,36549,0
146023,Lenskart Air,Grey,Any occasion,Wide,140 mm,LA E13520,1700,1700,VCEYE,1567,,Grey Transparent Full Rim Square Eyeglasses,eyeframe,4.7,290,63547,9749
150581,Lenskart Air,Grey,Any occasion,Wide,140 mm,LA E14362,1700,1700,VCEYE,6550,Any age group,Grey Transparent Full Rim Square Eyeglasses,eyeframe,4.75,65,64195,2027
